Date,Product Name & Brand,Past Week Sales,Weather Pattern,Event,Event_Impact_Level,Promotions (Discount),Competitor Action (Discount),Advertising,Economic Indicator,Store Location,Sales in Week (Target)
2023-01-01,Basmati Rice,1121,Windy,Baisakhi,2,10,20,Low,5,Hyderabad,1195
2023-01-01,Turmeric Powder,1805,Windy,Independence Day,3,10,20,Medium,4,Karnal,1984
2023-01-01,Red Chilli Powder,1510,Windy,Eid-ul-Adha,3,0,0,High,5,Amritsar,1729
2023-01-01,Cumin Seeds,2154,Rainy,Baisakhi,2,10,15,High,3,Rajahmundry,2229
2023-01-01,Coriander Powder,1241,Sunny,Republic Day,3,5,15,Low,4,Hyderabad,1274
2023-01-01,Garam Masala,1034,Windy,Baisakhi,2,15,15,Low,5,Aurangabad,1189
2023-01-01,Toor Dal,1565,Cloudy,Minor Event,1,15,5,Medium,4,Bhopal,1745
2023-01-01,Chana Dal,2981,Cloudy,Makar Sankranti,2,5,15,Medium,4,Bhopal,2969
2023-01-01,Urad Dal,1719,Rainy,Minor Event,1,15,0,Medium,3,Rajahmundry,1900
2023-01-01,Moong Dal,1064,Sunny,Gudi Padwa,2,0,20,High,3,Meerut,1052
2023-01-01,Jaggery,1391,Sunny,None,0,15,10,High,3,Hyderabad,1553
2023-01-01,Ghee,1200,Sunny,Diwali,3,5,5,Low,5,Bangalore,1346
2023-01-01,Paneer,2570,Cloudy,None,0,20,10,Medium,5,Kochi,2812
2023-01-01,Coconut Oil,1502,Sunny,Baisakhi,2,10,0,Low,4,Bangalore,1743
2023-01-01,Mustard Oil,2598,Rainy,Republic Day,3,5,5,Low,5,Hyderabad,2768
2023-01-01,Aam Papad,2430,Sunny,Durga Puja,3,20,15,Medium,3,Hyderabad,2747
2023-01-01,Mango Pickle,2819,Sunny,Independence Day,3,20,10,High,4,Karnal,3084
2023-01-01,Papad,2354,Sunny,Christmas,3,15,15,Medium,4,Jaipur,2606
2023-01-01,Idli Rice,1632,Cloudy,None,0,0,0,High,4,Hyderabad,1647
2023-01-01,Sambar Powder,2248,Sunny,Raksha Bandhan,2,10,0,Medium,3,Ludhiana,2398
2023-01-01,Aloo Bhujia,2520,Windy,Baisakhi,2,10,0,Low,4,Jaipur,2805
2023-01-01,Kaju Katli,2648,Windy,Regional Festival,2,5,10,Low,3,Vizag ,2831
2023-01-01,Besan,2759,Rainy,Guru Nanak Jayanti,3,5,5,Medium,5,Sangli,2962
2023-01-01,Aata (Wheat Flour),2439,Cloudy,Sunday,1,20,15,Medium,4,Vijayawada,2581
2023-01-01,Mango Juice,1981,Windy,Guru Nanak Jayanti,3,20,15,Medium,4,Karnal,2294
2023-01-01,Lemon Pickle,1463,Windy,None,0,0,15,High,4,Rajahmundry,1380
2023-01-01,Coconut Chutney,1146,Windy,Independence Day,3,10,5,High,5,Bangalore,1418
2023-01-01,Rasgulla,2976,Windy,Republic Day,3,0,5,Low,5,Hyderabad,3178
2023-01-01,Gulab Jamun Mix,1001,Rainy,Regional Festival,2,15,5,Low,3,Jaipur,1254
2023-01-01,Lassi,1008,Cloudy,Eid-ul-Adha,3,20,20,High,5,Rajahmundry,1256
