Date,Product Name & Brand,Past Week Sales,Weather Pattern,Event,Event_Impact_Level,Promotions (Discount),Competitor Action (Discount),Advertising,Economic Indicator,Store Location,Sales in Week (Target)
01-01-2023,Basmati Rice,2638,Windy,No event,0,20,10,Low,3,Hyderabad,2809
01-01-2023,Turmeric Powder,2685,Rainy,No event,0,10,10,Low,5,Vijayawada,2687
01-01-2023,Red Chilli Powder,1459,Windy,No event,0,15,5,Low,3,Aurangabad,1541
01-01-2023,Cumin Seeds,2705,Sunny,No event,0,0,10,High,5,Karimnagar,2742
01-01-2023,Coriander Powder,2154,Rainy,No event,0,10,15,High,3,Rajahmundry,2129
01-01-2023,Garam Masala,1241,Sunny,No event,0,0,5,Low,4,Hyderabad,1124
01-01-2023,Toor Dal,1775,Windy,No event,0,15,15,High,3,Aurangabad,1924
01-01-2023,Chana Dal,2021,Cloudy,No event,0,0,15,Medium,4,Bangalore,1979
01-01-2023,Urad Dal,1201,Windy,No event,0,20,5,Medium,4,Kota,1465
01-01-2023,Moong Dal,1719,Cloudy,No event,0,15,0,Medium,3,Bhopal,1850
01-01-2023,Jaggery,2180,Sunny,No event,0,5,0,Low,3,Meerut,2144
01-01-2023,Ghee,2162,Sunny,No event,0,0,0,Low,5,Ludhiana,2142
01-01-2023,Paneer,2513,Rainy,No event,0,10,0,High,3,Indore,2553
01-01-2023,Coconut Oil,1406,Sunny,No event,0,15,5,Low,5,Hyderabad,1492
01-01-2023,Mustard Oil,2762,Rainy,No event,0,15,10,High,3,Zirakpur,2862
01-01-2023,Aam Papad,1502,Cloudy,No event,0,10,0,Low,4,Meerut,1643
01-01-2023,Mango Pickle,2714,Rainy,No event,0,0,5,Medium,3,Hyderabad,2651
01-01-2023,Papad,2430,Sunny,No event,0,15,20,Medium,3,Hyderabad,2522
01-01-2023,Idli Rice,2266,Sunny,No event,0,15,20,High,5,Kurnool,2301
01-01-2023,Sambar Powder,1795,Cloudy,No event,0,20,0,Low,4,Aurangabad,1922
01-01-2023,Aloo Bhujia,2371,Windy,No event,0,15,10,Medium,5,Karimnagar,2560
01-01-2023,Kaju Katli,1627,Sunny,No event,0,0,10,Medium,3,Amritsar,1479
01-01-2023,Besan,2248,Cloudy,No event,0,10,0,Medium,3,Hyderabad,2298
01-01-2023,Aata (Wheat Flour),2520,Windy,No event,0,10,0,Low,4,Kota,2705
01-01-2023,Mango Juice,2648,Windy,No event,0,5,10,Low,3,Visakhapatnam ,2731
01-01-2023,Lemon Pickle,1854,Rainy,No event,0,0,5,Medium,4,Amravati,1857
01-01-2023,Coconut Chutney,2439,Cloudy,No event,0,5,20,Medium,4,Vijayawada,2356
01-01-2023,Rasgulla,1279,Windy,No event,0,10,0,High,4,Kurnool,1347
01-01-2023,Gulab Jamun Mix,2349,Cloudy,No event,0,10,0,Low,5,Visakhapatnam ,2441
01-01-2023,Lassi,2986,Windy,No event,0,15,10,High,4,Bangalore,3132
01-01-2023,Bhel Puri Mix,1337,Windy,No event,0,15,0,Low,5,Visakhapatnam ,1490
01-01-2023,Pav Bhaji Masala,1150,Rainy,No event,0,15,0,Low,4,Amritsar,1358
01-01-2023,Chole Masala,1001,Rainy,No event,0,15,5,Low,3,Kota,1154
01-01-2023,Tamarind Paste,2014,Cloudy,No event,0,15,20,Low,5,Rajahmundry,1972
01-01-2023,Ready-to-eat Curry Packs,2943,Rainy,No event,0,10,10,Medium,3,Jalandhar,3008
01-01-2023,Parle-G Biscuits,2135,Sunny,No event,0,15,15,Medium,5,Kurnool,2208
01-01-2023,Thums Up,2743,Windy,No event,0,5,5,Medium,5,Tirupati,2856
01-01-2023,Frooti,2300,Windy,No event,0,0,15,Low,4,Jalandhar,2172
01-01-2023,Hajmola Tablets,2906,Windy,No event,0,10,0,Low,5,Visakhapatnam ,3024
01-01-2023,Haldiram's Namkeen,1026,Cloudy,No event,0,20,10,Medium,5,Lucknow,1096
01-01-2023,Chyawanprash,2539,Windy,No event,0,0,20,Low,5,Amritsar,2373
08-01-2023,Basmati Rice,2069,Windy,Raksha Bandhan,2,0,15,Medium,3,Amravati,2110
08-01-2023,Turmeric Powder,1496,Rainy,Raksha Bandhan,2,15,0,Low,3,Guntur,1691
08-01-2023,Red Chilli Powder,1980,Windy,Raksha Bandhan,2,0,15,High,3,Bangalore,2064
08-01-2023,Cumin Seeds,2758,Windy,Raksha Bandhan,2,10,5,Low,4,Amritsar,2886
08-01-2023,Coriander Powder,1489,Windy,Raksha Bandhan,2,5,5,High,5,Bangalore,1643
